rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
1,top-100-stars,freeCodeCamp,368553,32392,TypeScript,https://github.com/freeCodeCamp/freeCodeCamp,freeCodeCamp,171,2023-06-13T07:36:07Z,freeCodeCamp.org's open-source codebase and curriculum. Learn to code for free.
2,top-100-stars,free-programming-books,283318,55676,,https://github.com/EbookFoundation/free-programming-books,EbookFoundation,30,2023-06-12T21:47:41Z,:books: Freely available programming books
3,top-100-stars,996.ICU,266046,21401,,https://github.com/996icu/996.ICU,996icu,0,2023-06-04T06:35:04Z,Repo for counting stars and contributing. Press F to pay respect to glorious developers.
4,top-100-stars,coding-interview-university,259470,68077,,https://github.com/jwasham/coding-interview-university,jwasham,44,2023-05-31T12:07:07Z,A complete computer science study plan to become a software engineer.
5,top-100-stars,awesome,257628,25891,,https://github.com/sindresorhus/awesome,sindresorhus,24,2023-06-06T20:24:06Z,😎 Awesome lists about all kinds of interesting topics
6,top-100-stars,public-apis,243384,27750,Python,https://github.com/public-apis/public-apis,public-apis,23,2023-06-12T22:57:16Z,A collective list of free APIs
7,top-100-stars,developer-roadmap,241768,34061,TypeScript,https://github.com/kamranahmedse/developer-roadmap,kamranahmedse,335,2023-06-13T06:17:18Z,"Interactive roadmaps, guides and other educational content to help developers grow in their careers."
8,top-100-stars,system-design-primer,222068,39333,Python,https://github.com/donnemartin/system-design-primer,donnemartin,181,2023-05-25T17:32:33Z,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.
9,top-100-stars,react,208898,43635,JavaScript,https://github.com/facebook/react,facebook,989,2023-06-13T04:00:03Z,The library for web and native user interfaces
10,top-100-stars,build-your-own-x,204118,19881,,https://github.com/codecrafters-io/build-your-own-x,codecrafters-io,160,2023-06-05T16:29:06Z,Master programming by recreating your favorite technologies from scratch.
11,top-100-stars,vue,204048,33857,TypeScript,https://github.com/vuejs/vue,vuejs,372,2023-06-13T08:05:05Z,"This is the repo for Vue 2. For Vue 3, go to https://github.com/vuejs/core"
12,top-100-stars,tensorflow,175485,88446,C++,https://github.com/tensorflow/tensorflow,tensorflow,1940,2023-06-13T08:41:09Z,An Open Source Machine Learning Framework for Everyone
13,top-100-stars,javascript-algorithms,171221,28064,JavaScript,https://github.com/trekhleb/javascript-algorithms,trekhleb,111,2023-06-06T14:49:43Z,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings
14,top-100-stars,awesome-python,170891,23294,Python,https://github.com/vinta/awesome-python,vinta,0,2023-06-12T14:35:27Z,"A curated list of awesome Python frameworks, libraries, software and resources"
15,top-100-stars,You-Dont-Know-JS,168818,32655,,https://github.com/getify/You-Dont-Know-JS,getify,83,2023-06-10T06:51:55Z,A book series on JavaScript. @YDKJS on twitter.
16,top-100-stars,CS-Notes,164871,50246,,https://github.com/CyC2018/CS-Notes,CyC2018,122,2023-05-24T08:05:23Z,:books: 技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计
17,top-100-stars,bootstrap,164185,78546,JavaScript,https://github.com/twbs/bootstrap,twbs,300,2023-06-12T15:26:26Z,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web."
18,top-100-stars,ohmyzsh,159791,25306,Shell,https://github.com/ohmyzsh/ohmyzsh,ohmyzsh,207,2023-06-13T07:55:34Z,"🙃   A delightful community-driven (with 2,100+ contributors) framework for managing your zsh configuration. Includes 300+ optional plugins (rails, git, macOS, hub, docker, homebrew, node, php, python, etc), 140+ themes to spice up your morning, and an auto-update tool so that makes it easy to keep up with the latest updates from the community."
19,top-100-stars,Python,159780,40277,Python,https://github.com/TheAlgorithms/Python,TheAlgorithms,29,2023-06-12T22:09:46Z,All Algorithms implemented in Python
20,top-100-stars,flutter,154258,25474,Dart,https://github.com/flutter/flutter,flutter,11481,2023-06-13T08:38:28Z,Flutter makes it easy and fast to build beautiful apps for mobile and beyond
21,top-100-stars,linux,153088,48457,C,https://github.com/torvalds/linux,torvalds,0,2023-06-13T05:49:31Z,Linux kernel source tree
22,top-100-stars,gitignore,148832,84155,,https://github.com/github/gitignore,github,0,2023-06-12T00:32:42Z,A collection of useful .gitignore templates
23,top-100-stars,vscode,147199,25900,TypeScript,https://github.com/microsoft/vscode,microsoft,6718,2023-06-13T08:06:41Z,Visual Studio Code
24,top-100-stars,computer-science,140613,18077,,https://github.com/ossu/computer-science,ossu,15,2023-05-05T02:28:26Z,:mortar_board: Path to a free self-taught education in Computer Science!
25,top-100-stars,Auto-GPT,139239,29377,Python,https://github.com/Significant-Gravitas/Auto-GPT,Significant-Gravitas,526,2023-06-13T08:16:43Z,An experimental open-source attempt to make GPT-4 fully autonomous.
26,top-100-stars,the-art-of-command-line,136896,13614,,https://github.com/jlevy/the-art-of-command-line,jlevy,106,2023-05-22T19:29:52Z,"Master the command line, in one page"
