rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
1,top-100-stars,freeCodeCamp,370302,32964,TypeScript,https://github.com/freeCodeCamp/freeCodeCamp,freeCodeCamp,178,2023-07-26T08:57:37Z,freeCodeCamp.org's open-source codebase and curriculum. Learn to code for free.
2,top-100-stars,free-programming-books,293853,56725,,https://github.com/EbookFoundation/free-programming-books,EbookFoundation,36,2023-07-25T21:05:42Z,:books: Freely available programming books
3,top-100-stars,996.ICU,267709,21552,,https://github.com/996icu/996.ICU,996icu,0,2023-06-16T20:06:43Z,Repo for counting stars and contributing. Press F to pay respect to glorious developers.
4,top-100-stars,awesome,263023,26244,,https://github.com/sindresorhus/awesome,sindresorhus,26,2023-07-21T05:17:11Z,😎 Awesome lists about all kinds of interesting topics
5,top-100-stars,coding-interview-university,261805,68670,,https://github.com/jwasham/coding-interview-university,jwasham,44,2023-07-19T02:53:35Z,A complete computer science study plan to become a software engineer.
6,top-100-stars,public-apis,249181,28654,Python,https://github.com/public-apis/public-apis,public-apis,26,2023-07-25T00:04:31Z,A collective list of free APIs
7,top-100-stars,developer-roadmap,245367,34394,TypeScript,https://github.com/kamranahmedse/developer-roadmap,kamranahmedse,421,2023-07-25T20:44:21Z,"Interactive roadmaps, guides and other educational content to help developers grow in their careers."
8,top-100-stars,system-design-primer,225588,39935,Python,https://github.com/donnemartin/system-design-primer,donnemartin,181,2023-07-11T07:48:58Z,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.
9,top-100-stars,react,210860,44187,JavaScript,https://github.com/facebook/react,facebook,1037,2023-07-25T18:02:02Z,The library for web and native user interfaces
10,top-100-stars,build-your-own-x,209477,20445,,https://github.com/codecrafters-io/build-your-own-x,codecrafters-io,165,2023-07-16T12:08:54Z,Master programming by recreating your favorite technologies from scratch.
11,top-100-stars,vue,204559,34138,TypeScript,https://github.com/vuejs/vue,vuejs,377,2023-07-22T14:46:47Z,"This is the repo for Vue 2. For Vue 3, go to https://github.com/vuejs/core"
12,top-100-stars,tensorflow,176420,88718,C++,https://github.com/tensorflow/tensorflow,tensorflow,1945,2023-07-26T08:55:19Z,An Open Source Machine Learning Framework for Everyone
13,top-100-stars,awesome-python,174943,23564,Python,https://github.com/vinta/awesome-python,vinta,0,2023-07-19T09:54:14Z,"A curated list of awesome Python frameworks, libraries, software and resources"
14,top-100-stars,javascript-algorithms,172726,28392,JavaScript,https://github.com/trekhleb/javascript-algorithms,trekhleb,114,2023-07-23T07:59:45Z,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings
15,top-100-stars,You-Dont-Know-JS,169997,32846,,https://github.com/getify/You-Dont-Know-JS,getify,81,2023-07-18T21:51:23Z,A book series on JavaScript. @YDKJS on twitter.
16,top-100-stars,CS-Notes,165712,50393,,https://github.com/CyC2018/CS-Notes,CyC2018,124,2023-07-21T02:41:14Z,:books: 技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计
17,top-100-stars,bootstrap,164714,78692,JavaScript,https://github.com/twbs/bootstrap,twbs,315,2023-07-26T08:03:02Z,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web."
18,top-100-stars,Python,161290,40834,Python,https://github.com/TheAlgorithms/Python,TheAlgorithms,32,2023-07-26T07:02:50Z,All Algorithms implemented in Python
19,top-100-stars,ohmyzsh,160939,25373,Shell,https://github.com/ohmyzsh/ohmyzsh,ohmyzsh,209,2023-07-25T21:16:12Z,"🙃   A delightful community-driven (with 2,100+ contributors) framework for managing your zsh configuration. Includes 300+ optional plugins (rails, git, macOS, hub, docker, homebrew, node, php, python, etc), 140+ themes to spice up your morning, and an auto-update tool so that makes it easy to keep up with the latest updates from the community."
20,top-100-stars,flutter,155306,25738,Dart,https://github.com/flutter/flutter,flutter,11433,2023-07-26T08:39:45Z,Flutter makes it easy and fast to build beautiful apps for mobile and beyond
21,top-100-stars,linux,154929,49110,C,https://github.com/torvalds/linux,torvalds,0,2023-07-25T22:37:36Z,Linux kernel source tree
22,top-100-stars,gitignore,150017,84165,,https://github.com/github/gitignore,github,0,2023-07-21T12:20:55Z,A collection of useful .gitignore templates
23,top-100-stars,vscode,148636,26383,TypeScript,https://github.com/microsoft/vscode,microsoft,7229,2023-07-26T08:54:06Z,Visual Studio Code
24,top-100-stars,computer-science,146296,18813,,https://github.com/ossu/computer-science,ossu,16,2023-07-20T04:07:01Z,:mortar_board: Path to a free self-taught education in Computer Science!
25,top-100-stars,Auto-GPT,144891,31301,Python,https://github.com/Significant-Gravitas/Auto-GPT,Significant-Gravitas,591,2023-07-26T08:42:08Z,An experimental open-source attempt to make GPT-4 fully autonomous.
26,top-100-stars,awesome-selfhosted,140577,7947,Makefile,https://github.com/awesome-selfhosted/awesome-selfhosted,awesome-selfhosted,34,2023-07-25T16:17:16Z,A list of Free Software network services and web applications which can be hosted on your own servers
