rank,item,repo_name,stars,forks,watchers,language,repo_url,username,pullRequests,milestones,issues,totalIssues,vulnerability,created,last_commit,description
10,CSharp,ShareX,18199,2352,507,C#,https://github.com/ShareX/ShareX,ShareX,926,0,358,5043,0,2013-10-08T23:32:10Z,2021-12-28T18:14:12Z,"ShareX is a free and open source program that lets you capture or record any area of your screen and share it with a single press of a key. It also allows uploading images, text or other types of files to many supported destinations you can choose from."
11,CSharp,WaveFunctionCollapse,17181,897,503,C#,https://github.com/mxgmn/WaveFunctionCollapse,mxgmn,28,0,0,40,0,2016-09-30T11:53:17Z,2021-12-28T11:20:16Z,Bitmap & tilemap generation from a single example with the help of ideas from quantum mechanics
12,CSharp,ScreenToGif,16156,1727,336,C#,https://github.com/NickeManarin/ScreenToGif,NickeManarin,240,19,161,783,0,2016-08-02T01:28:59Z,2021-12-28T14:45:39Z,"🎬 ScreenToGif allows you to record a selected area of your screen, edit and save it as a gif or video."
13,CSharp,awesome-dotnet-core,15522,2440,1156,C#,https://github.com/thangchung/awesome-dotnet-core,thangchung,716,0,18,69,0,2016-03-17T03:52:09Z,2021-12-28T16:38:27Z,":honeybee: A collection of awesome .NET core libraries, tools, frameworks and software"
14,CSharp,Files,15408,877,276,C#,https://github.com/files-community/Files,files-community,2547,9,726,4800,0,2019-01-04T18:19:14Z,2021-12-28T21:00:19Z,A modern file manager that pushes the boundaries of the platform.
15,CSharp,roslyn,15327,3486,1031,C#,https://github.com/dotnet/roslyn,dotnet,30275,104,8617,27337,0,2015-01-11T02:39:03Z,2021-12-28T23:00:46Z,The Roslyn .NET compiler provides C# and Visual Basic languages with rich code analysis APIs.
16,CSharp,Dapper,14380,3448,977,C#,https://github.com/DapperLib/Dapper,DapperLib,560,1,285,1071,0,2011-04-14T08:42:59Z,2021-12-28T23:13:44Z,Dapper - a simple object mapper for .Net
17,CSharp,ILSpy,14068,2696,692,C#,https://github.com/icsharpcode/ILSpy,icsharpcode,545,26,166,1994,0,2011-02-04T11:24:20Z,2021-12-28T22:18:28Z,".NET Decompiler with support for PDB generation, ReadyToRun, Metadata (&more) - cross-platform!"
18,CSharp,maui,13210,648,664,C#,https://github.com/dotnet/maui,dotnet,1565,11,796,1749,0,2020-05-08T18:11:05Z,2021-12-28T21:46:24Z,".NET MAUI is the .NET Multi-platform App UI, a framework for building native device applications spanning mobile, tablet, and desktop."
19,CSharp,jellyfin,12783,1319,254,C#,https://github.com/jellyfin/jellyfin,jellyfin,3133,0,529,3499,0,2018-12-09T06:36:45Z,2021-12-28T21:50:02Z,The Free Software Media System
20,CSharp,Avalonia,12647,1139,441,C#,https://github.com/AvaloniaUI/Avalonia,AvaloniaUI,2942,13,1168,3677,0,2013-12-05T20:13:21Z,2021-12-28T16:10:55Z,A cross platform XAML framework for .NET
1,CPP,tensorflow,161489,86016,7952,C++,https://github.com/tensorflow/tensorflow,tensorflow,19523,9,2487,33656,0,2015-11-07T01:19:20Z,2021-12-28T22:41:43Z,An Open Source Machine Learning Framework for Everyone
2,CPP,electron,99503,13056,2950,C++,https://github.com/electron/electron,electron,15551,0,1441,16254,0,2013-04-12T01:47:36Z,2021-12-28T22:49:58Z,":electron: Build cross-platform desktop apps with JavaScript, HTML, and CSS"
3,CPP,terminal,79520,7073,1309,C++,https://github.com/microsoft/terminal,microsoft,2711,39,1425,9221,0,2017-08-11T18:38:22Z,2021-12-28T20:46:37Z,"The new Windows Terminal and the original Windows console host, all in the same place!"
4,CPP,bitcoin,60567,31020,3892,C++,https://github.com/bitcoin/bitcoin,bitcoin,16522,49,619,6646,0,2010-12-19T15:16:43Z,2021-12-28T22:32:46Z,Bitcoin Core integration/staging tree
5,CPP,opencv,58883,49664,2655,C++,https://github.com/opencv/opencv,opencv,12732,49,1959,8553,0,2012-07-19T09:40:17Z,2021-12-28T21:29:47Z,Open Source Computer Vision Library
6,CPP,swift,58321,9348,2551,C++,https://github.com/apple/swift,apple,40567,9,0,0,0,2015-10-23T21:15:07Z,2021-12-28T22:26:53Z,The Swift Programming Language
7,CPP,pytorch,52983,14552,1598,C++,https://github.com/pytorch/pytorch,pytorch,46532,26,7383,23785,0,2016-08-13T05:26:41Z,2021-12-28T22:16:54Z,Tensors and Dynamic neural networks in Python with strong GPU acceleration
8,CPP,protobuf,52395,13573,2086,C++,https://github.com/protocolbuffers/protobuf,protocolbuffers,4536,27,927,4756,0,2014-08-26T15:52:15Z,2021-12-28T22:58:37Z,Protocol Buffers - Google's data interchange format
9,CPP,godot,44916,8113,1417,C++,https://github.com/godotengine/godot,godotengine,24252,10,5689,31090,0,2014-01-04T16:05:36Z,2021-12-28T23:14:38Z,Godot Engine – Multi-platform 2D and 3D game engine
10,CPP,tesseract,43285,7705,1678,C++,https://github.com/tesseract-ocr/tesseract,tesseract-ocr,1428,8,338,2231,0,2014-08-12T18:04:59Z,2021-12-28T21:46:28Z,Tesseract Open Source OCR Engine (main repository)
11,CPP,x64dbg,37866,1741,2878,C++,https://github.com/x64dbg/x64dbg,x64dbg,684,0,497,2080,0,2015-04-11T20:48:23Z,2021-12-28T21:00:39Z,An open-source x64/x32 debugger for windows.
12,CPP,imgui,33746,5808,970,C++,https://github.com/ocornut/imgui,ocornut,873,16,589,3683,0,2014-07-21T14:29:47Z,2021-12-28T23:13:19Z,Dear ImGui: Bloat-free Graphical User interface for C++ with minimal dependencies
13,CPP,grpc,32981,8637,1355,C++,https://github.com/grpc/grpc,grpc,18246,55,771,9928,0,2014-12-08T18:58:53Z,2021-12-28T21:03:27Z,"The C based gRPC (C++, Python, Ruby, Objective-C, PHP, C#)"
14,CPP,caffe,32173,18910,2162,C++,https://github.com/BVLC/caffe,BVLC,2234,3,886,4768,0,2013-09-12T18:39:48Z,2021-12-28T14:39:37Z,Caffe: a fast open framework for deep learning.
15,CPP,phantomjs,28666,5831,1152,C++,https://github.com/ariya/phantomjs,ariya,1134,17,14,4734,0,2010-12-27T08:18:58Z,2021-12-27T17:30:04Z,Scriptable Headless Browser
16,CPP,json,27947,4761,727,C++,https://github.com/nlohmann/json,nlohmann,696,41,30,1930,0,2013-07-04T08:47:49Z,2021-12-28T20:32:25Z,JSON for Modern C++
17,CPP,leveldb,27406,6147,1317,C++,https://github.com/google/leveldb,google,294,0,153,651,0,2014-08-27T21:17:52Z,2021-12-28T18:15:14Z,LevelDB is a fast key-value storage library written at Google that provides an ordered mapping from string keys to string values.
18,CPP,rethinkdb,25171,1838,810,C++,https://github.com/rethinkdb/rethinkdb,rethinkdb,622,94,1410,6341,0,2012-10-30T05:37:47Z,2021-12-28T22:40:39Z,The open-source database for the realtime web.
19,CPP,aria2,25101,2869,723,C++,https://github.com/aria2/aria2,aria2,286,19,834,1564,0,2010-11-27T09:41:48Z,2021-12-28T23:04:16Z,"aria2 is a lightweight multi-protocol & multi-source, cross platform download utility operated in command-line. It supports HTTP/HTTPS, FTP, SFTP, BitTorrent and Metalink."
20,CPP,googletest,24557,8140,1160,C++,https://github.com/google/googletest,google,1713,0,181,1862,0,2015-07-28T15:07:53Z,2021-12-28T15:33:09Z,GoogleTest - Google Testing and Mocking Framework
1,Go,go,93739,13942,3518,Go,https://github.com/golang/go,golang,2094,239,7255,47841,0,2014-08-19T04:33:40Z,2021-12-28T20:36:19Z,The Go programming language
2,Go,kubernetes,83949,30754,3287,Go,https://github.com/kubernetes/kubernetes,kubernetes,67202,47,1670,39963,0,2014-06-06T22:56:04Z,2021-12-28T21:53:58Z,Production-Grade Container Scheduling and Management
3,Go,awesome-go,72888,9335,2675,Go,https://github.com/avelino/awesome-go,avelino,3579,0,12,356,0,2014-07-06T13:42:15Z,2021-12-28T22:51:20Z,"A curated list of awesome Go frameworks, libraries and software"
4,Go,moby,61880,17876,3043,Go,https://github.com/moby/moby,moby,21795,96,3910,21202,0,2013-01-18T18:10:57Z,2021-12-28T21:54:08Z,Moby Project - a collaborative project for the container ecosystem to assemble container-based systems
5,Go,hugo,56075,6347,1054,Go,https://github.com/gohugoio/hugo,gohugoio,3521,197,637,5708,0,2013-07-04T15:26:26Z,2021-12-28T21:33:05Z,The world’s fastest framework for building websites.
6,Go,gin,54231,6163,1354,Go,https://github.com/gin-gonic/gin,gin-gonic,1247,21,373,1746,0,2014-06-16T23:57:25Z,2021-12-28T22:34:30Z,"Gin is a HTTP web framework written in Go (Golang). It features a Martini-like API with much better performance -- up to 40 times faster. If you need smashing performance, get yourself some Gin."
7,Go,frp,52037,9491,1520,Go,https://github.com/fatedier/frp,fatedier,528,5,90,2177,0,2015-12-21T15:24:59Z,2021-12-28T22:03:50Z,A fast reverse proxy to help you expose a local server behind a NAT or firewall to the internet.
8,Go,syncthing,42044,3292,987,Go,https://github.com/syncthing/syncthing,syncthing,3334,69,297,4727,0,2013-11-26T09:48:21Z,2021-12-28T22:04:22Z,Open Source Continuous File Synchronization
9,Go,fzf,41124,1784,393,Go,https://github.com/junegunn/fzf,junegunn,570,14,223,2055,0,2013-10-23T16:04:23Z,2021-12-28T22:08:21Z,:cherry_blossom: A command-line fuzzy finder
10,Go,prometheus,40213,6673,1139,Go,https://github.com/prometheus/prometheus,prometheus,5631,9,396,4362,0,2012-11-24T11:14:12Z,2021-12-28T21:57:00Z,The Prometheus monitoring system and time series database.
11,Go,build-web-application-with-golang,39342,10384,2446,Go,https://github.com/astaxie/build-web-application-with-golang,astaxie,881,0,105,286,0,2012-08-02T11:49:35Z,2021-12-28T16:12:33Z,A golang ebook intro how to build a web with golang
12,Go,v2ray-core,38835,8317,1398,Go,https://github.com/v2ray/v2ray-core,v2ray,447,6,19,2417,0,2015-09-04T11:42:53Z,2021-12-28T17:18:04Z,A platform for building proxies to bypass network restrictions.
13,Go,etcd,38321,8229,1354,Go,https://github.com/etcd-io/etcd,etcd-io,7934,37,135,5607,0,2013-07-06T21:57:21Z,2021-12-28T22:07:23Z,Distributed reliable key-value store for the most critical data of a distributed system
14,Go,gogs,38204,4453,1044,Go,https://github.com/gogs/gogs,gogs,1770,21,758,4789,0,2014-02-12T01:57:08Z,2021-12-28T22:04:23Z,Gogs is a painless self-hosted Git service
15,Go,traefik,36211,3999,695,Go,https://github.com/traefik/traefik,traefik,3852,17,587,4768,0,2015-09-13T19:04:02Z,2021-12-28T22:07:40Z,The Cloud Native Application Proxy
16,Go,caddy,36102,2895,759,Go,https://github.com/caddyserver/caddy,caddyserver,1584,51,82,2813,0,2015-01-13T19:45:03Z,2021-12-28T22:04:24Z,"Fast, multi-platform web server with automatic HTTPS"
17,Go,go-ethereum,34385,12718,2130,Go,https://github.com/ethereum/go-ethereum,ethereum,6941,124,216,6115,0,2013-12-26T13:05:46Z,2021-12-28T22:33:32Z,Official Go implementation of the Ethereum protocol
18,Go,mkcert,33136,1565,444,Go,https://github.com/FiloSottile/mkcert,FiloSottile,113,0,79,278,0,2018-06-25T05:33:03Z,2021-12-28T20:31:20Z,A simple zero-config tool to make locally trusted development certificates with any names you'd like.
19,Go,minio,30850,3519,589,Go,https://github.com/minio/minio,minio,7668,17,14,5663,0,2015-01-14T19:23:58Z,2021-12-28T22:23:33Z,"High Performance, Kubernetes Native Object Storage"
20,Go,rclone,30656,2762,551,Go,https://github.com/rclone/rclone,rclone,1584,47,657,4241,0,2014-03-16T16:19:57Z,2021-12-28T22:40:50Z,"""rsync for cloud storage"" - Google Drive, S3, Dropbox, Backblaze B2, One Drive, Swift, Hubic, Wasabi, Google Cloud Storage, Yandex Files"
1,Java,JavaGuide,115029,39283,4594,Java,https://github.com/Snailclimb/JavaGuide,Snailclimb,769,0,67,707,0,2018-05-07T13:27:00Z,2021-12-28T18:55:13Z,「Java学习+面试指南」一份涵盖大部分 Java 程序员所需要掌握的核心知识。准备 Java 面试，首选 JavaGuide！
2,Java,java-design-patterns,72038,22442,3886,Java,https://github.com/iluwatar/java-design-patterns,iluwatar,1224,26,216,688,0,2014-08-09T16:45:18Z,2021-12-28T23:01:55Z,Design patterns implemented in Java
3,Java,LeetCodeAnimation,68340,13131,2610,Java,https://github.com/MisterBooo/LeetCodeAnimation,MisterBooo,73,0,12,54,0,2018-12-06T08:01:22Z,2021-12-28T16:43:41Z,Demonstrate all the questions on LeetCode in the form of animation.（用动画的形式呈现解LeetCode题目的思路）
4,Java,spring-boot,58862,35257,3393,Java,https://github.com/spring-projects/spring-boot,spring-projects,5038,240,537,23903,0,2012-10-19T15:02:57Z,2021-12-28T21:50:56Z,Spring Boot
5,Java,elasticsearch,57930,21056,2750,Java,https://github.com/elastic/elasticsearch,elastic,53135,5,3248,28762,0,2010-02-08T13:20:56Z,2021-12-28T23:08:59Z,"Free and Open, Distributed, RESTful Search Engine"
6,Java,mall,55068,23454,2156,Java,https://github.com/macrozheng/mall,macrozheng,83,0,19,413,0,2018-04-04T01:11:44Z,2021-12-28T17:30:02Z,mall项目是一套电商系统，包括前台商城系统及后台管理系统，基于SpringBoot+MyBatis实现，采用Docker容器化部署。 前台商城系统包含首页门户、商品推荐、商品搜索、商品展示、购物车、订单流程、会员中心、客户服务、帮助中心等模块。 后台管理系统包含商品管理、订单管理、会员管理、促销管理、运营管理、内容管理、统计报表、财务管理、权限管理、设置等模块。
7,Java,interviews,54954,11688,2635,Java,https://github.com/kdn251/interviews,kdn251,149,0,29,47,0,2017-02-14T18:19:25Z,2021-12-28T23:16:39Z,Everything you need to know to get the job.
8,Java,RxJava,45625,7541,2283,Java,https://github.com/ReactiveX/RxJava,ReactiveX,3660,28,10,3074,0,2013-01-08T20:11:48Z,2021-12-28T14:40:24Z,RxJava – Reactive Extensions for the JVM – a library for composing asynchronous and event-based programs using observable sequences for the Java VM.
9,Java,spring-framework,45530,32149,3445,Java,https://github.com/spring-projects/spring-framework,spring-projects,3601,285,1107,21508,0,2010-12-08T04:04:45Z,2021-12-28T16:37:42Z,Spring Framework
10,Java,Java,42985,14212,2250,Java,https://github.com/TheAlgorithms/Java,TheAlgorithms,2260,0,11,581,0,2016-07-16T10:21:02Z,2021-12-28T21:36:04Z,All Algorithms implemented in Java
11,Java,GitHub-Chinese-Top-Charts,42887,6127,1955,Java,https://github.com/kon9chunkit/GitHub-Chinese-Top-Charts,kon9chunkit,13,0,108,210,0,2019-09-05T03:01:56Z,2021-12-28T23:01:43Z,:cn: GitHub中文排行榜，各语言分离设置「软件 / 资料」榜单，精准定位中文好项目。各取所需，互不干扰。
12,Java,retrofit,39224,7019,1604,Java,https://github.com/square/retrofit,square,1088,7,130,2538,0,2010-09-06T21:39:43Z,2021-12-28T16:14:47Z,A type-safe HTTP client for Android and the JVM
13,Java,dubbo,36637,24458,3160,Java,https://github.com/apache/dubbo,apache,4507,48,296,4911,0,2012-06-19T07:56:02Z,2021-12-28T23:18:48Z,"Apache Dubbo is a high-performance, java based, open source RPC framework."
14,Java,MPAndroidChart,34421,8592,1117,Java,https://github.com/PhilJay/MPAndroidChart,PhilJay,472,0,1902,4734,0,2014-04-25T14:29:47Z,2021-12-28T18:14:12Z,"A powerful 🚀 Android chart view / graph view library, supporting line- bar- pie- radar- bubble- and candlestick charts as well as scaling, panning and animations."
15,Java,lottie-android,32223,5152,857,Java,https://github.com/airbnb/lottie-android,airbnb,574,10,40,1375,0,2016-10-06T22:42:42Z,2021-12-28T12:53:45Z,"Render After Effects animations natively on Android and iOS, Web, and React Native"
16,Java,glide,32072,5856,1066,Java,https://github.com/bumptech/glide,bumptech,614,21,312,4056,0,2013-07-08T22:52:33Z,2021-12-28T22:04:22Z,An image loading and caching library for Android focused on smooth scrolling
17,Java,ghidra,30537,3958,932,Java,https://github.com/NationalSecurityAgency/ghidra,NationalSecurityAgency,738,20,1067,2839,0,2019-03-01T03:27:48Z,2021-12-28T23:20:56Z,Ghidra is a software reverse engineering (SRE) framework
18,Java,hello-algorithm,29448,5708,656,Java,https://github.com/geekxh/hello-algorithm,geekxh,28,0,3,34,0,2020-05-29T05:47:09Z,2021-12-28T19:46:31Z,🌍 针对小白的算法训练 | 包括四部分：①.算法基础 ②.力扣图解 ③.大厂面经 ④.CS_汇总 | 附：1、千本开源电子书  2、百张技术思维导图（项目花了上百小时，希望可以点 star 支持，🌹感谢~）
19,Java,zxing,28825,9133,1700,Java,https://github.com/zxing/zxing,zxing,313,13,10,1130,0,2011-10-12T14:07:27Z,2021-12-28T19:50:55Z,"ZXing (""Zebra Crossing"") barcode scanning library for Java, Android"
20,Java,tutorials,28684,46047,1540,Java,https://github.com/eugenp/tutorials,eugenp,11088,0,20,543,0,2013-04-29T18:26:36Z,2021-12-28T21:56:35Z,"Just Announced - ""Learn Spring Security OAuth"": "
1,JavaScript,freeCodeCamp,337797,27605,8460,JavaScript,https://github.com/freeCodeCamp/freeCodeCamp,freeCodeCamp,28388,25,98,15668,0,2014-12-24T17:49:19Z,2021-12-28T23:15:58Z,freeCodeCamp.org's open-source codebase and curriculum. Learn to code for free.
2,JavaScript,vue,191721,31009,6186,JavaScript,https://github.com/vuejs/vue,vuejs,2124,14,322,9647,0,2013-07-29T03:24:51Z,2021-12-28T22:59:55Z,"🖖 Vue.js is a progressive, incrementally-adoptable JavaScript framework for building UI on the web."
3,JavaScript,react,179822,36505,6669,JavaScript,https://github.com/facebook/react,facebook,11733,39,680,11021,0,2013-05-24T16:15:54Z,2021-12-28T23:17:29Z,"A declarative, efficient, and flexible JavaScript library for building user interfaces."
4,JavaScript,bootstrap,154628,75626,7004,JavaScript,https://github.com/twbs/bootstrap,twbs,13179,36,336,21013,0,2011-07-29T21:19:00Z,2021-12-28T22:04:21Z,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web."
5,JavaScript,javascript-algorithms,130395,21370,4298,JavaScript,https://github.com/trekhleb/javascript-algorithms,trekhleb,542,0,84,253,0,2018-03-24T07:47:04Z,2021-12-28T23:19:20Z,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings
6,JavaScript,javascript,117818,22468,3854,JavaScript,https://github.com/airbnb/javascript,airbnb,1323,1,86,1138,0,2012-11-01T23:13:50Z,2021-12-28T22:59:50Z,JavaScript Style Guide
7,JavaScript,react-native,100111,21571,3668,JavaScript,https://github.com/facebook/react-native,facebook,10413,0,1878,22157,0,2015-01-09T18:10:16Z,2021-12-28T22:52:36Z,A framework for building native applications using React
8,JavaScript,create-react-app,92523,23496,1917,JavaScript,https://github.com/facebook/create-react-app,facebook,3837,82,1121,7407,0,2016-07-17T14:55:11Z,2021-12-28T22:54:27Z,Set up a modern web app by running one command.
9,JavaScript,30-seconds-of-code,90316,9552,2414,JavaScript,https://github.com/30-seconds/30-seconds-of-code,30-seconds,1479,0,0,277,0,2017-11-29T17:35:03Z,2021-12-28T23:19:10Z,Short JavaScript code snippets for all your development needs
10,JavaScript,axios,90142,9057,1217,JavaScript,https://github.com/axios/axios,axios,949,8,205,3387,0,2014-08-18T22:30:27Z,2021-12-28T21:11:39Z,Promise based HTTP client for the browser and node.js
11,JavaScript,node,83933,22185,2920,JavaScript,https://github.com/nodejs/node,nodejs,26107,28,1314,14037,0,2014-11-26T19:57:11Z,2021-12-28T22:36:18Z,Node.js JavaScript runtime :sparkles::turtle::rocket::sparkles:
12,JavaScript,next.js,78764,15918,1227,JavaScript,https://github.com/vercel/next.js,vercel,10170,58,994,11481,0,2016-10-05T23:32:51Z,2021-12-28T22:57:58Z,The React Framework
13,JavaScript,three.js,77272,30058,2549,JavaScript,https://github.com/mrdoob/three.js,mrdoob,12150,50,336,10821,0,2010-03-23T18:58:01Z,2021-12-28T23:13:55Z,JavaScript 3D Library.
14,JavaScript,nodebestpractices,72987,7426,1721,JavaScript,https://github.com/goldbergyoni/nodebestpractices,goldbergyoni,822,5,24,283,0,2017-09-15T08:33:19Z,2021-12-28T23:05:11Z,:white_check_mark:  The Node.js best practices list (December 2021)
15,JavaScript,awesome-selfhosted,72354,5160,1822,JavaScript,https://github.com/awesome-selfhosted/awesome-selfhosted,awesome-selfhosted,2117,2,97,649,0,2015-06-01T02:33:17Z,2021-12-28T23:16:55Z,A list of Free Software network services and web applications which can be hosted on your own servers
16,JavaScript,Font-Awesome,67023,11768,1396,JavaScript,https://github.com/FortAwesome/Font-Awesome,FortAwesome,622,71,5674,17802,0,2012-02-17T14:19:43Z,2021-12-28T21:39:14Z,"The iconic SVG, font, and CSS toolkit"
17,JavaScript,tech-interview-handbook,62835,8776,1866,JavaScript,https://github.com/yangshun/tech-interview-handbook,yangshun,209,0,7,41,0,2016-07-05T05:00:48Z,2021-12-28T22:53:27Z,💯 Curated interview preparation materials for busy engineers
18,JavaScript,clean-code-javascript,61281,7871,1684,JavaScript,https://github.com/ryanmcdermott/clean-code-javascript,ryanmcdermott,244,0,39,116,0,2016-11-25T22:25:41Z,2021-12-28T22:55:48Z,:bathtub: Clean Code concepts adapted for JavaScript
19,JavaScript,webpack,60121,8146,1552,JavaScript,https://github.com/webpack/webpack,webpack,5462,19,184,8749,0,2012-03-10T10:08:14Z,2021-12-28T20:15:28Z,"A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading parts of the application on demand. Through ""loaders"", modules can be CommonJs, AMD, ES6 modules, CSS, Images, JSON, Coffeescript, LESS, ... and your custom stuff."
20,JavaScript,angular.js,59580,28410,3897,JavaScript,https://github.com/angular/angular.js,angular,7992,141,391,9030,0,2010-01-06T00:34:37Z,2021-12-28T06:50:15Z,AngularJS - HTML enhanced for web apps!
1,Python,public-apis,172576,19902,3388,Python,https://github.com/public-apis/public-apis,public-apis,2580,0,6,341,0,2016-03-20T23:49:42Z,2021-12-28T23:14:53Z,A collective list of free APIs
2,Python,system-design-primer,155760,28781,5905,Python,https://github.com/donnemartin/system-design-primer,donnemartin,393,0,143,204,0,2017-02-26T16:15:28Z,2021-12-28T23:11:27Z,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.
3,Python,Python,125988,33635,5915,Python,https://github.com/TheAlgorithms/Python,TheAlgorithms,4918,0,14,881,0,2016-07-16T09:44:01Z,2021-12-28T23:15:58Z,All Algorithms implemented in Python
4,Python,Python-100-Days,113481,44144,6175,Python,https://github.com/jackfrued/Python-100-Days,jackfrued,269,0,443,534,0,2018-03-01T16:05:52Z,2021-12-28T21:25:38Z,Python - 100天从新手到大师
5,Python,awesome-python,111216,20430,5606,Python,https://github.com/vinta/awesome-python,vinta,1606,0,6,255,0,2014-06-27T21:00:06Z,2021-12-28T23:09:46Z,"A curated list of awesome Python frameworks, libraries, software and resources"
6,Python,youtube-dl,104078,6665,2209,Python,https://github.com/ytdl-org/youtube-dl,ytdl-org,4606,6,4061,24542,0,2010-10-31T14:35:07Z,2021-12-28T22:55:12Z,Command-line program to download videos from YouTube.com and other video sites
7,Python,models,72341,45309,2888,Python,https://github.com/tensorflow/models,tensorflow,3573,1,1124,6729,0,2016-02-05T01:15:20Z,2021-12-28T22:05:19Z,Models and examples built with TensorFlow
8,Python,thefuck,65373,3016,832,Python,https://github.com/nvbn/thefuck,nvbn,608,3,186,616,0,2015-04-08T15:08:04Z,2021-12-28T23:20:07Z,Magnificent app which corrects your previous console command.
9,Python,django,61472,26252,2310,Python,https://github.com/django/django,django,15206,0,0,0,0,2012-04-28T02:47:18Z,2021-12-28T20:17:40Z,The Web framework for perfectionists with deadlines.
10,Python,flask,57483,14773,2197,Python,https://github.com/pallets/flask,pallets,2085,17,18,2228,0,2010-04-06T11:11:59Z,2021-12-28T18:35:49Z,The Python micro framework for building web applications.
11,Python,transformers,56171,13285,786,Python,https://github.com/huggingface/transformers,huggingface,6532,0,327,8382,0,2018-10-29T13:56:00Z,2021-12-28T22:03:44Z,"🤗 Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX."
12,Python,keras,53550,18954,1992,Python,https://github.com/keras-team/keras,keras-team,4816,0,201,10991,0,2015-03-28T00:35:42Z,2021-12-28T22:23:12Z,Deep Learning for humans
13,Python,httpie,53139,3429,1051,Python,https://github.com/httpie/httpie,httpie,444,1,95,722,0,2012-02-25T12:39:13Z,2021-12-28T21:16:07Z,"As easy as /aitch-tee-tee-pie/ 🥧 Modern, user-friendly command-line HTTP client for the API era. JSON support, colors, sessions, downloads, plugins & more. https://twitter.com/httpie"
14,Python,awesome-machine-learning,52199,12937,3420,Python,https://github.com/josephmisiti/awesome-machine-learning,josephmisiti,754,0,0,72,0,2014-07-15T19:11:19Z,2021-12-28T22:37:43Z,"A curated list of awesome Machine Learning frameworks, libraries and software."
